Model,Threshold,Net_Benefit
LogisticRegression,0.63,0.15244191559981035
LogisticRegression,0.64,0.16276803118908384
LogisticRegression,0.65,0.19047619047619047
LogisticRegression,0.66,0.16924664602683182
LogisticRegression,0.67,0.16533758639021795
LogisticRegression,0.68,0.1611842105263158
LogisticRegression,0.6900000000000001,0.17628749292586304
LogisticRegression,0.7000000000000001,0.16374269005847952
LogisticRegression,0.7100000000000001,0.15093768905021168
LogisticRegression,0.72,0.16917293233082706
LogisticRegression,0.73,0.14814814814814814
LogisticRegression,0.74,0.14304993252361672
LogisticRegression,0.75,0.13157894736842105
LogisticRegression,0.76,0.1023391812865497
LogisticRegression,0.77,0.11975591151792524
LogisticRegression,0.78,0.14912280701754385
LogisticRegression,0.79,0.14912280701754385
LogisticRegression,0.8,0.14912280701754385
LogisticRegression,0.81,0.14912280701754385
LogisticRegression,0.8200000000000001,0.14035087719298245
LogisticRegression,0.8300000000000001,0.11403508771929824
LogisticRegression,0.8400000000000001,0.10526315789473684
LogisticRegression,0.85,0.09649122807017543
LogisticRegression,0.86,0.08771929824561403
LogisticRegression,0.87,0.08771929824561403
LogisticRegression,0.88,0.07017543859649122
LogisticRegression,0.89,0.07017543859649122
LogisticRegression,0.9,0.07017543859649122
LogisticRegression,0.91,0.043859649122807015
LogisticRegression,0.92,0.043859649122807015
LogisticRegression,0.93,0.03508771929824561
LogisticRegression,0.9400000000000001,0.02631578947368421
LogisticRegression,0.9500000000000001,0.02631578947368421
LogisticRegression,0.9600000000000001,0.02631578947368421
LogisticRegression,0.97,0.02631578947368421
LogisticRegression,0.98,0.017543859649122806
LogisticRegression,0.99,0.0
SVM_RBF,0.01,0.5569732411837675
SVM_RBF,0.02,0.5524525599713569
SVM_RBF,0.03,0.547838668837041
SVM_RBF,0.04,0.5431286549707602
SVM_RBF,0.05,0.5383194829178208
SVM_RBF,0.060000000000000005,0.5334079880552445
SVM_RBF,0.06999999999999999,0.5283908696472364
SVM_RBF,0.08,0.5232646834477498
SVM_RBF,0.09,0.5180258338153074
SVM_RBF,0.09999999999999999,0.5126705653021442
SVM_RBF,0.11,0.5071949536763256
SVM_RBF,0.12,0.4928229665071771
SVM_RBF,0.13,0.4870941722121396
SVM_RBF,0.14,0.4826601387188903
SVM_RBF,0.15000000000000002,0.476780185758514
SVM_RBF,0.16,0.4741019214703426
SVM_RBF,0.17,0.46818854364827733
SVM_RBF,0.18000000000000002,0.46213093709884473
SVM_RBF,0.19,0.44920944336149016
SVM_RBF,0.2,0.4451754385964912
SVM_RBF,0.21000000000000002,0.43892960248723073
SVM_RBF,0.22,0.42375168690958165
SVM_RBF,0.23,0.4084073820915926
SVM_RBF,0.24000000000000002,0.4044321329639889
SVM_RBF,0.25,0.39766081871345027
SVM_RBF,0.26,0.38501659554291134
SVM_RBF,0.27,0.38127853881278545
SVM_RBF,0.28,0.3879142300194932
SVM_RBF,0.29000000000000004,0.38497652582159625
SVM_RBF,0.3,0.3784461152882206
SVM_RBF,0.31,0.3629544876684465
SVM_RBF,0.32,0.3560371517027864
SVM_RBF,0.33,0.34891332809636033
SVM_RBF,0.34,0.3373205741626794
SVM_RBF,0.35000000000000003,0.325910931174089
SVM_RBF,0.36000000000000004,0.32346491228070173
SVM_RBF,0.37,0.316067947646895
SVM_RBF,0.38,0.3138087153367289
SVM_RBF,0.39,0.2973828012654587
SVM_RBF,0.4,0.30409356725146197
SVM_RBF,0.41000000000000003,0.30909901873327383
SVM_RBF,0.42000000000000004,0.2846339987900786
SVM_RBF,0.43,0.2819329024315174
SVM_RBF,0.44,0.275062656641604
SVM_RBF,0.45,0.2894736842105263
SVM_RBF,0.46,0.2654320987654321
SVM_RBF,0.47000000000000003,0.2576961271102284
SVM_RBF,0.48000000000000004,0.24156545209176786
SVM_RBF,0.49,0.2518059855521156
SVM_RBF,0.5,0.24561403508771928
SVM_RBF,0.51,0.25742928750447547
SVM_RBF,0.52,0.2514619883040935
SVM_RBF,0.53,0.25513251213139226
SVM_RBF,0.54,0.23150266971777267
SVM_RBF,0.55,0.20760233918128648
SVM_RBF,0.56,0.21212121212121207
SVM_RBF,0.5700000000000001,0.20563035495716028
SVM_RBF,0.5800000000000001,0.21094402673350035
SVM_RBF,0.59,0.19554985023534452
SVM_RBF,0.6,0.17982456140350878
SVM_RBF,0.61,0.16869095816464236
SVM_RBF,0.62,0.1902123730378578
SVM_RBF,0.63,0.18397344713134187
SVM_RBF,0.64,0.19298245614035087
SVM_RBF,0.65,0.17794486215538846
SVM_RBF,0.66,0.17131062951496387
SVM_RBF,0.67,0.15550239234449756
SVM_RBF,0.68,0.17653508771929824
SVM_RBF,0.6900000000000001,0.18986983588002262
SVM_RBF,0.7000000000000001,0.15789473684210523
SVM_RBF,0.7100000000000001,0.1518451300665456
SVM_RBF,0.72,0.15914786967418548
SVM_RBF,0.73,0.17706302794022094
SVM_RBF,0.74,0.1632928475033738
SVM_RBF,0.75,0.18421052631578946
SVM_RBF,0.76,0.17105263157894737
SVM_RBF,0.77,0.15751334858886346
SVM_RBF,0.78,0.1435406698564593
SVM_RBF,0.79,0.1620718462823726
SVM_RBF,0.8,0.14035087719298245
SVM_RBF,0.81,0.12696214219759921
SVM_RBF,0.8200000000000001,0.1042884990253411
SVM_RBF,0.8300000000000001,0.08101135190918468
SVM_RBF,0.8400000000000001,0.07456140350877187
SVM_RBF,0.85,0.0584795321637427
